,id,title,labels,fold
0,11882252,"CFEOM1, the classic familial form of congenital fibrosis of the extraocular muscles, is genetically heterogeneous but does not result from mutations in ARIX.",Female	Fibrosis	Genetic Linkage	Genetic Variation	Haplotypes	Homeodomain Proteins	Humans	Male	Mutation	Oculomotor Muscles	Ophthalmoplegia	Pedigree	Phenotype,3
1,11882251,An algorithm and program for finding sequence specific oligonucleotide probes for species identification.,"Algorithms	Computational Biology	Cupriavidus necator	Databases, Genetic	Gammaproteobacteria	Oligonucleotide Probes	RNA, Bacterial	RNA, Ribosomal, 18S	RNA, Ribosomal, 28S	Software Design	Species Specificity	Sulfolobus	Thermotoga maritima	Treponema",0
2,11922865,Nerve growth factor selectively regulates expression of transcripts encoding ribosomal proteins.,"Animals	Gene Expression Profiling	Gene Expression Regulation	Gene Library	Nerve Growth Factor	PC12 Cells	Pheochromocytoma	RNA, Messenger	Rats	Ribosomal Proteins",0
3,11879527,The use of breast conserving surgery: linking insurance claims with tumor registry data.,"Age Factors	Aged	Aged, 80 and over	Breast Neoplasms	Databases, Factual	Female	Hawaii	Health Systems Plans	Humans	Insurance Claim Review	Mastectomy, Segmental	Medicaid	Medicare	Middle Aged	Neoplasm Staging	Pilot Projects	SEER Program	United States",0
4,11914147,Assessment of the infectious diseases surveillance system of the Republic of Armenia: an example of surveillance in the Republics of the former Soviet Union.,"Armenia	Communicable Disease Control	Disease Notification	Efficiency, Organizational	Guidelines as Topic	Health Care Reform	Humans	Management Audit	Population Surveillance	Public Health Administration	Public Health Informatics",7
5,11884248,Reporting of measures of accuracy in systematic reviews of diagnostic literature.,"Bias (Epidemiology)	Clinical Laboratory Techniques	Data Interpretation, Statistical	Databases, Bibliographic	Humans	Meta-Analysis as Topic	Pathology, Clinical	Quality Control	Reproducibility of Results	Research Design	Review Literature as Topic	Sensitivity and Specificity",1
6,11914137,Markers for early detection of cancer: statistical guidelines for nested case-control studies.,Bias (Epidemiology)	Biomarkers	Case-Control Studies	False Negative Reactions	False Positive Reactions	Humans	Neoplasms	Reproducibility of Results	Sample Size	Selection Bias	Statistics as Topic,9
7,11918830,A theoretical model for estimating the margination constant of leukocytes.,"Animals	Cell Movement	Epinephrine	Leukocytes	Mice	Models, Theoretical	Monocytes	Neoplasms, Experimental	Physical Conditioning, Animal",9
8,11914159,Tetraethylammonium block of water flux in Aquaporin-1 channels expressed in kidney thin limbs of Henle's loop and a kidney-derived cell line.,"Animals	Aquaporin 1	Aquaporins	Cell Line	Cell Membrane Permeability	Cells, Cultured	Culture Techniques	Dogs	Electric Conductivity	Kidney	Loop of Henle	Male	Oocytes	Patch-Clamp Techniques	Rats	Rats, Wistar	Tetraethylammonium	Water	Xenopus",1
9,11914123,Ca2+-mediated activation of ERK in hepatocytes by norepinephrine and prostaglandin F2 alpha: role of calmodulin and Src kinases.,"Animals	Calcimycin	Calcium	Calcium-Calmodulin-Dependent Protein Kinases	Calmodulin	Dinoprost	Enzyme Activation	Hepatocytes	Ionophores	MAP Kinase Signaling System	Male	Mitogen-Activated Protein Kinase 1	Mitogen-Activated Protein Kinase 3	Mitogen-Activated Protein Kinases	Norepinephrine	Rats	Rats, Wistar	src-Family Kinases",8
